"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1134856982","Empire Health Systems","5"
"1215806823","Divinity Non-Emergency Transportation Services","3"
"1528937125","Sagebrush Psychotherapy","3"
"1598634107","Indigo Practice Continuing Education","3"
"1598634107","Indigo Practice Therapy","3"
"1598634107","Indigo Sleep & Wellness","3"
"1932918026","Butterfly Haven LLC","3"
"1942179536","Cultivate Grace Counseling and Consultation Services","3"
"1033984190","Value Leader Long Term Care Pharmacy","3"
"1043279011","Care Options for Kids","3"
"1164948121","Oro Valley Dialysis","3"
"1205705860","One You Love Homecare Annapolis","3"
"1215805502","Recovery Works London","3"
"1235146218","WALGREENS #07338","3"
"1245274463","Orthopedic Associates of Dayton","3"
"1295821304","Stony Creek Dialysis","3"
"1316701477","Shopko Optical 4303","3"
"1407621568","Follansbee Long Term Care Pharmacy","3"
"1497378764","RI International","3"
"1508735150","BHA Silver Palm Pharmacy","3"
"1528528726","Quickmed Urgent Care","3"
"1558735639","WALGREENS #16373","3"
"1578202560","Lake Aspen Home Training","3"
"1588806707","The Hughston Clinic PC","4"
"1720410822","Care Options Home Health","3"
"1720410822","Care Options for Kids","3"
"1720421746","Neuropsychological Assessment Clinic, Inc","3"
"1730912429","Dolphy Cares Supportive Housing","3"
"1760185128","Cardinal Chiropractic","3"
"1801660550","Tristate Long Term Care Pharmacy","3"
"1952509713","Miracle Ear","3"
"1972472520","We Rock the Spectrum Huntsville","3"
"1972767515","TRISTATE LTC PHARMACY","3"
"1992554398","UNIVERSAL TRAVEL CARE CORP","3"
"1013171123","Care Options for Kids","3"
"1013886662","SafeMind Psychiatric Wellness Center","3"
"1053936484","Koala Center for Sleep & TMJ Disorders - IN3","3"
"1053936484","Steely Dental","3"
"1093198624","Memorial Healthcare","3"
"1093198624","Memorial Healthcare Specialty Pharmacy NOW","3"
"1124154000","Care Options for Kids","3"
"1245835131","HACKENSACK RADIOLOGY CLIFTON","3"
"1245835131","HACKENSACK RADIOLOGY HOBOKEN","3"
"1255729331","A1 Health Pharmacy","3"
"1295604866","Speranza Behavioral Health","3"
"1306715982","Speranza Behavioral Health","3"
"1326075193","Merit Health Madison","3"
"1326075193","UMMC-Madison Swing Bed","3"
"1326195843","DearCare Health Management International","3"
"1356227839","Carolina RHI","3"
"1437028016","Washington DPS-Bureau of EMS, County","5"
"1437034782","Kidney Care of the Rockies","3"
"1558750331","Avant Therapy - Physical Therapy & Wellness","3"
"1598429953","ARH Medical and Specialty Associates - Paintsville","3"
"1639048200","Aurora Senior Living","3"
"1659408987","Care Options for Kids","3"
"1679314199","Blessed Health","3"
"1679442248","Aetheran Medical & Anesthesia Services","3"
"1821379801","Charles Towne Dialysis","3"
"1871978064","Gastro One Pharmacy","3"
"1881720662","Care Options for Kids","3"
"1902607476","Coomsa Oral Surgery Tulsa","3"
"1902607476","Central Oklahoma Oral & Maxillofacial Surgery Associates of Tulsa, PC","4"
"1912156266","Loudoun OB/GYN & Midwives","3"
"1922494681","Morteza Mirkarimi M.D., Inc.","4"
"1922977503","Mom Works Counseling Group","3"
"1982871158","Care Options for Kids","3"
"1992366553","Counselogy LLC","4"
"1992366553","The Behavioral Center LLC","4"
"1053110312","Urgent Care","3"
"1104553494","Wildflower Breast Center","3"
"1154757904","Ear, Nose and Throat Specialists of Florida","3"
"1164391645","Select Physical Therapy","3"
"1174915748","University Urology","3"
"1194770404","Merit Health Madison","3"
"1194770404","UMMC - Madison","3"
"1255527735","FRANK H. LEIVA, M.D., P.A.","4"
"1255527735","Francisco Herminio Leiva","5"
"1306289996","PHI Air Medical","3"
"1306657390","Julie Alley LCSW - LLC","3"
"1306715891","Adept Consulting","3"
"1316381635","Sachedina Urology","3"
"1336037332","RKK Logistics Inc","3"
"1336481258","Champion Healthcare of North Texas","3"
"1396893327","Samaritan Coastal Clinic","3"
"1396893327","Samaritan Health Clinic - Hwy 101","3"
"1437581089","South Florida Regional Breast Care","3"
"1437980489","Helping Hands of South Florida Home Care","3"
"1477724383","The Vision Clinic","3"
"1568543692","Samaritan Health Clinic - Toledo","3"
"1568543692","Samaritan Toledo Clinic","3"
"1568742658","Samaritan Health Clinic - West Devils Lake","3"
"1568742658","Samaritan Lincoln City Medical Center","3"
"1609257823","Cochlear Hearing Center","3"
"1619047503","Samaritan Health Clinic - Waldport","3"
"1619047503","Samaritan Waldport Clinic","3"
"1629663091","Altruistic Private Home Care","3"
"1649548934","Visionworks","3"
"1790156545","FAITH PHARMACY","3"
"1811873615","Low Vision of Southwest Florida","3"
"1821057027","Taylorville Dialysis","3"
"1881565919","Deborah A. Ashcraft DMD, PC","3"
"1942357355","Samaritan Depoe Bay Clinic","3"
"1942357355","Samaritan Health Clinic - Depoe Bay","3"
"1992674485","Weber County Sheriff's Office","3"
"1992818090","PRICE CHOPPER PHARMACY","3"
"1114076171","Florida Urology Physicians","3"
"1144199654","Tufts Medicine Behavioral Health Hospital","3"
"1174407696","Prime Psychiatry and Wellness","3"
"1245241744","Caspian Pharmacy","3"
"1245241744","PACIFIC PHARMACY","3"
"1275380842","Embrace.Pink","3"
"1316417918","Be Healthy & Well","3"
"1316417918","Temp RD Consulting","3"
"1346908704","Serendipt","3"
"1356852313","LLC","3"
"1386012615","Hematology and Medical Oncology of Southern Palm Beach County","3"
"1407829484","Optima Rehabilitation","5"
"1427426758","South Florida Cancer Care","3"
"1508680067","Colts Neck Pharmacy LTC","3"
"1518642388","Newport Pharmacy LTC","3"
"1548807951","Costa Salud Community Health Centers - Moca","5"
"1649648080","Jupiter Hematology Oncology","3"
"1710053814","COLTS NECK PHARMACY","3"
"1720558224","Class A Healthcare Services LLC","4"
"1760791735","MED TEAM, INC","3"
"1831567296","Hematology Oncology Associates of Boca Raton","3"
"1841580917","Broward Urology","3"
"1861382152","EBM - Gastroentrology","5"
"1871735480","Broward Urology Center","3"
"1902580293","GenesisCare Gulf Coast Breast Center","3"
"1922998210","EBM - Weight Management","5"
"1972056984","ENT","3"
"1972056984","John c Lincoln, LLC","4"
"1972637411","University Health Services","3"
"1003836867","Orthopedic Clinic of Appleton","3"
"1013055060","Associates in General & Vascular Surgery","3"
"1093799439","South Roanoke Nursing Home","3"
"1093799439","South Roanoke Nursing and Rehabilitation","3"
"1144599440","Masel Urology Center","3"
"1164307468","Taylor Care Adult Behavioral Health at Berlin","3"
"1164534400","Mission Hills Pain Treatment Center","5"
"1164936720","West Valley Anesthesia Associates","3"
"1164936720","West Valley Medical Imaging","3"
"1225906035","Orange Grove Mental Health","3"
"1225907751","Legacy Dental Associates","3"
"1255200788","Cost-Plus and Compounding of HealthRidge Pharmacy","3"
"1265455521","Bowling Green Manor","3"
"1275025140","Project Destiny Home of Hope","3"
"1306715834","Brown and Nawrocki Restorative & Cosmetic Dentistry","3"
"1316981194","Florida Gynecologic Oncology","3"
"1336509546","W Michael Haney MD","3"
"1356210892","Olympic Peninsula Community Clinic","3"
"1356524599","De Anza Clinic","3"
"1356524599","De Anza Urgent Care Clinic","3"
"1376368043","THE THRASHER'S NEST LLC","3"
"1396613428","LKG Psychotherapy & Coaching","3"
"1457923682","Polaris Psychology","5"
"1487000717","Taylor Care Adult Behavioral Health at Berlin","3"
"1528442332","Head & Neck Surgical Cancer Specialists of SW Florida","3"
"1649093709","David Schwartzwald, MD: Urology Care Specialists","3"
"1669145934","Project Destiny Home of Hope 2","5"
"1700215530","Healing Ways Counseling","5"
"1700215530","Healing Ways Counseling, PLC","5"
"1710360508","Regional Consultants in Hematology and Oncology","3"
"1821285826","Uromedix","3"
"1831568179","GD UROLOGY","3"
"1841595790","Liberman Advanced Surgical","3"
"1891493904","Ageless Women's Health","3"
"1902144801","Teterboro Dialysis","3"
"1962129924","Advance Specialty Institute","3"
"1003863580","Associated Pathologists LLC dba PathGroup","3"
"1104294800","Jose A Chamorro MD","3"
"1104840750","Corry Manor","3"
"1184095234","Urologic Specialists","3"
"1215442777","North Star Wellness Center","3"
"1245099423","River Bend Healthcare","3"
"1295613891","CCI Health Services","3"
"1316400179","Brick Sports Medicine","3"
"1336217132","PARKS PHARMACY","3"
"1386376218","Cornerstone Caregiving","5"
"1407466303","ZoomCare- Belltown","3"
"1417121948","Lenscrafters #5633","3"
"1457375081","Bradford Manor","3"
"1467321919","My Wellness Putnam County","3"
"1528683463","Jangsu Daycare","3"
"1598302721","Austin Skin","3"
"1619345915","Ghassan T Hamady MD","3"
"1629092275","Celina Manor","3"
"1629947171","KRS Counseling and Consulting","3"
"1639644263","Julie DeMarco, BCBA","5"
"1679942692","Darwich E Bejany MD","3"
"1730627316","Miracle Ear","3"
"1770952616","Augusto E Tirado MD","3"
