element_name,type,parent_element,search_path,occurrence,description,search_path_string,COLUMN_NAME,DATA_TYPE,COLUMN_DEF
UGE,,,[],"minOccurs=1, maxOccurs=1",<Element '{http://www.w3.org/2001/XMLSchema}documentation' at 0x117614c70>,[],,,
HDR,,UGE,['UGE'],"minOccurs=0, maxOccurs=1",<Element '{http://www.w3.org/2001/XMLSchema}documentation' at 0x117614ea0>,['UGE'],,,
ASCT_CNT,String10,HDR,"['UGE', 'HDR']","minOccurs=0, maxOccurs=1",,"['UGE', 'HDR']",,,
ENRLMT_CNT,String10,HDR,"['UGE', 'HDR']","minOccurs=0, maxOccurs=1",,"['UGE', 'HDR']",,,
AFDVT_CNT,String10,HDR,"['UGE', 'HDR']","minOccurs=0, maxOccurs=1",,"['UGE', 'HDR']",,,
ERR_LIST,,HDR,"['UGE', 'HDR']","minOccurs=0, maxOccurs=1",,"['UGE', 'HDR']",,,
ERR_CD,ERR_CD_TYPE,ERR_LIST,"['UGE', 'HDR', 'ERR_LIST']","minOccurs=0, maxOccurs=1",,"['UGE', 'HDR', 'ERR_LIST']",,,
ERR_DESC,String100,ERR_LIST,"['UGE', 'HDR', 'ERR_LIST']","minOccurs=0, maxOccurs=1",,"['UGE', 'HDR', 'ERR_LIST']",ERR_DESC,VARCHAR2,Error description for the error object_x000D_
CNTNT,,UGE,['UGE'],"minOccurs=1, maxOccurs=1",<Element '{http://www.w3.org/2001/XMLSchema}documentation' at 0x1176152b0>,['UGE'],,,
MDCR_PRVDR,,CNTNT,"['UGE', 'CNTNT']","minOccurs=1, maxOccurs=1",<Element '{http://www.w3.org/2001/XMLSchema}documentation' at 0x117615440>,"['UGE', 'CNTNT']",,,
PRVDR,,MDCR_PRVDR,"['UGE', 'CNTNT', 'MDCR_PRVDR']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR']",,,
PRVDR_INFO,,PRVDR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR']",,,
INDVDL_INFO,INDVDL_INFO_TYPE,PRVDR_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO']",,,
